Anyone can do that.	任何人都可以做到。
I got my friends to help me.	我请我的朋友来帮助我。
I feel relieved.	我感觉轻松了。
Let me help you. Your bag looks very heavy.	让我来帮你吧。你的包看起来很重。
The cargo ship arrived four hours early.	货船早到了四小时。
What's the weather like now?	现在的天气怎么样了？
Tom did an excellent job.	汤姆做得很出色。
I will do the shopping for her birthday.	我要去给她生日买点东西。
I decided to study every day.	我决定每天用功读书。
Do you still love Tom?	你依然爱汤姆吗？
Take care not to catch a cold.	小心不要着凉。
Long skirts are out of fashion now.	现在长裙不流行了。
Call security!	叫保安来！
You've got a big hole in your sock.	你的袜子上有个大洞。
I couldn't sleep.	我睡不着。
He used to get up early.	他以前很早起床。
Has the mailman already come?	邮差已经来过了吗？
I'm clearly missing something here.	我确实在这里丢了东西。
I want this camera.	我要这台相机。
Tell me how to play the game.	告诉我怎么玩游戏。
Ladies and gentlemen, due to an accident at the airport, our arrival will be delayed.	女士们，先生们，由于机场的意外情况，我们的着陆将被推迟。
Do you know if she can speak English?	你知道她会说英语吗？
How long will you stay in Japan?	你会待在日本多久？
When people meet, first impressions determine more than 50 percent of whatever happens next.	在人际交往中，第一印象决定着将要发生的事情内容的百分之五十以上。
I was the one who had to tell Tom.	该由我告诉汤姆。
He began to shout.	他开始喊叫。
I expect you to work harder.	我希望你更加努力地工作。
The medicine didn't do me any good.	这药对我没有任何好处。
Give me your phone number.	给我你的电话号码。
I'm still angry.	我还饿着呢。
What would you like to be in the future?	你以后想当什么呢？
Five gallons of regular, please.	请照平常一样五加仑。
I don't know anything about their relationship.	我对他们的关系一无所知。
Before this car, I drove a Nissan.	在这辆车之前，我开的是辆日产汽车。
How about having dinner together?	一起吃晚餐怎么样?
Your dog is very big.	您的狗非常胖。
There is a village over the mountain.	在山巅上有一个村庄。
We have two daughters.	我们有两个女儿。
Diplomats are allowed various privileges.	外交官有多种特权。
We're on strike because the company hasn't improved our wages.	我们之所以罢工是因为公司没有改善我们的工资。
A thousand dollars is a large sum.	1000美元是个大数目。
Parents love their children.	父母爱自己的孩子。
Please don't say that.	请不要这样说。
How many boys are there in this class?	这个班有多少男生？
Would you please autograph this book?	请您在这本书上签名好吗?
Do you have a list of hotels?	你有旅馆名录吗？
I don't know for certain.	我不太确定。
Tom will never see you again.	汤姆再也不会见你了。
I think so.	我想是这样的。
It looks like the dog wants something to eat.	那只狗看起来好像想吃东西。
Goodbye!	再见！
I hope I'll see you again soon.	我希望我会很快再见到你。
I cheered myself up by listening to music.	我藉由听音乐来鼓舞我自己。
My uncle gave me a present.	我叔叔给了我一份礼物。
Would you like to dance with me?	你愿意和我跳舞吗？
He took part in the Olympic Games.	他参加了奥运会。
Life would be impossible without the sun.	没有太阳就没有生命。
Rome was not built in a day.	罗马不是一天建成的。
There is no use in making excuses.	借口是没用的。
She has kept a diary for 3 years.	她已经写了三年的日记。
I wish I were younger.	但愿我年轻一点。
Tom is resting at the moment.	汤姆现在在休息。
Where else should we go?	我们要去其他的什么地方？
That man grabbed the young girl's wrist.	那个男人抓住了这个年轻女孩的手腕。
I have no energy today.	今天我没有精神。
Where is the book?	那本书在哪儿？
Why don't you stay a little while?	你为什么不留下来一会儿？
He has to take two science classes.	他必须上两堂理化课。
It'll take a long time.	我要花很长时间。
You should drink a lot of liquid.	你应该喝大量的液体。
He threw a piece of meat to a dog.	他朝狗扔了一块肉。
I have to get some sleep.	我必须睡一下觉。
She is hard up for money.	她钱不够。
I have already done my homework.	我已经做了我的家庭作业。
He's very fond of science fiction.	他非常喜欢科幻小说。
What are you doing tonight?	你今晚在做什么？
My father has never been abroad.	我父亲从来没有出过国。
This is the most massive structure I have ever seen.	这是我所见过的最大型的构造了。
Where is the Japanese Embassy?	日本大使馆在哪里？
One of the children left the door open.	其中一个孩子让门开着。
I've got something you've got to see.	我有个东西您该看看。
We don't live in Boston.	我们不住在波士顿。
You have to change trains at Shibuya.	你得在涉谷换乘火车。
Tom doesn't like any kind of spicy food.	汤姆不喜欢任何辣的食物。
I want to be a baseball player.	我想成为一名棒球运动员。
Nothing is achieved without effort.	没有什么是不劳而获的。
Tom and Mary went to the best restaurant in town.	汤姆和玛丽去了镇上最好的饭店。
Don't bug me.	别来烦我。
The surrounding area was very quiet.	周围的地区非常安静。
They all have come.	他们全都来了。
That's not fair.	那是不公平的。
I was always good at English.	我一直都擅长英文。
We had a late lunch at two.	我们在两点钟吃了晚午餐。
We had a lot of furniture.	我们有很多家具。
He patted me on the shoulder.	他拍拍我的肩膀。
You had better take an umbrella with you.	你最好随身带把伞。
My parents won't let me date.	我父母不让我和男生约会。
Turn left at the first light.	在第一个红绿灯左转。
Where shall I wait for you?	我该在哪儿等您？
I know what his name is.	我知道他叫什么名字。
Put this sentence into English.	把这句句子翻成英语。
I don't think she cares very much.	我不认为她很在意。
You must put an end to this foolish behavior.	你该结束这种愚蠢的行为了。
How can I get to the station?	我怎样才能到火车站？
She always clears the table after a meal.	她经常在饭后收拾桌子。
Which book is yours?	哪本是你的书？
This is the office in which he works.	这是他工作的办公室。
Which do you prefer, rice or bread?	你比较喜欢哪一个，米饭还是面包？
I love parties.	我爱派对。
You had better do what they say.	你最好照他们所说的做。
The fastest way to travel is by plane.	旅行最快的方式是乘飞机。
The room is full of people.	屋里挤满了人。
Did you hear the news?	你听到新闻了吗？
Stockholm is the capital of Sweden.	斯德哥尔摩是瑞典的首都。
Tom bought a camera at a store not too far from here.	Tom在离这里不远的一家商店里买了一台相机。
Countless stars were twinkling in the sky.	无数星星在天上闪烁。
He never goes out late at night.	他从不在深夜出门。
The baby is playing with some toys.	这个小婴儿正在玩一些玩具。
I'll join you all later.	我晚会加入你们。
Tom demanded an explanation.	汤姆要求有人解释。
She won everything.	她赢得一切了。
There is a spoon missing.	少了一把勺子。
You don't have to tell Tom if you don't want to.	如果你不想，那你便没有这个必要去告诉汤姆。
You should study English harder.	你应该更努力学习英语。
What have I ever done to Tom?	我对汤姆做了什么？
We want further information.	我们想要更多信息。
I agree to your proposal.	我同意你的建议。
It is easy to read this book.	这本书很容易读。
Don't run risks.	不要冒险。
You know that's not right.	你知道不是那样的。
Beauty's in the eye of the beholder.	美驻留在看的那个人的眼里。
Tom is divorced and has a daughter.	Tom离婚了，他有个女儿。
She visited her husband in prison.	她探望了她在监狱里的丈夫。
You are allowed to use the hotel's swimming pool.	你有权使用旅馆的游泳池。
My sister lives near Yokohama.	我妹妹住在横滨附近。
I must have caught a cold.	我肯定着凉了。
Open the door, please.	请把门打开。
You must stop smoking.	你必须停止吸烟。
We can't let them do that.	我们不能让他们那么做。
Two times two is four.	二乘以二等于四。
He always wanted to study Japanese.	他一直想学日语。
Tom is not a friendly guy.	汤姆不是个友好的家伙。
I have a friend living in Nara.	我有一个朋友住在奈良。
That's the computer he used to write the article.	那就是那台他用来写文章的电脑。
The ship made slow progress against the strong wind.	这艘船逆风而行缓慢前进。
My sister and I went to the castle.	我和妹妹去了城堡。
Don't enter the room without permission.	未经允许请勿进入这个房间。
Tom is shy.	汤姆害羞。
Her hair is streaked with gray.	她的头发中夹有白发。
Please take me to the Grand Hotel.	请带我到大饭店。
He was hurt in a car accident.	他在一次车祸中受伤了。
What sports do you like?	你喜欢什么运动？
It was just a matter of time.	这只是时间上的问题。
It's too hot for us to work.	太热了所以我们无法工作。
Can you tell me where the nearest antique shop is?	你能告诉我最近的古玩店在哪里吗？
I bought her a watch.	我买了一支手表给她。
I have just come back from school.	我刚从学校回来。
You were treated unfairly.	你被不公平地对待。
We must intervene.	我们必须介入。
You don't understand.	你不了解。
The bell rings at eight.	铃声在八点钟响起。
I'm afraid I've offended you.	我怕我冒犯了你。
Tom is already here, but Mary hasn't gotten here yet.	汤姆已经在这里了，但玛丽还没到。
How long is this?	这有多长？
I fear this work will take up most of my time.	我怕这项工作会占用我大部份的时间。
How are you? Did you have a good trip?	你怎么样？旅游愉快吗？
I intend to go there.	我打算去那里。
I am going out this afternoon.	今天下午我会外出。
We hope a solution is found.	我们希望找到解决方法。
He caught a boy stealing his watch.	他抓到了一个男孩正在偷他的表。
Winter is coming.	冬季快来了。
Austria is one of the largest producers of electricity in Europe.	澳大利亚在欧洲是最大的电能生产国之一。
Turn the knob and open the door.	转动门把，把门打开。
I have a stomachache, doctor.	我胃痛，医生。
It sounds as if he were to blame for the disaster.	听起来好像他是这场灾难的罪魁祸首。
He is unfit to be a teacher.	他不适合当老师。
Let me ask a stupid question.	我来问个有点傻的问题。
I want you to stay here longer.	我希望你留在这儿久一点。
You idiot!	蠢货！
I wish that we could spend more time together.	我希望我们有更多时间呆在一起。
He turned pale with fright.	他吓得脸色发白。
Accuracy is important in arithmetic.	准确性在计算中很重要。
Tom got to Boston yesterday.	汤姆昨天到波士顿。
The dog came running to me.	狗向着我跑了过来。
This is what I want.	这就是我想要的。
I forgot to telephone him today.	我今天忘了打电话给他。
Is this something you want?	这是你要的吗？
Can you really not swim?	你真的不会游泳吗？
She graduated in 1996.	她在1996年毕业。
They say that golf is very popular in Japan.	他们说高尔夫在日本很流行。
Not only did he refuse to help me, but also he scolded me.	他不但没帮我，还骂了我。
I will study English at home.	我将在家学习英语。
Do you have a dictionary?	你有字典吗？
She was wearing pumps.	她穿着舞鞋。
Bush followed Reagan as president.	布什继里根之后当上了总统。
Thank you very much for everything.	非常感谢你所做的一切。
I like to watch baseball games.	我喜欢看棒球比赛。
I gave her her dictionary back.	我把她的字典还给了她。
Thank you for your cooperation.	谢谢您的合作。
I need your passport and three photographs.	我需要你的护照和三张照片。
My mother opened the door very carefully.	我妈妈小心翼翼地打开门。
He plays very well.	他玩得很好。
Is there a service charge for that?	要收服务费吗?
The cause of the fire was unknown.	火灾的原因不明。
I watched him cross the street.	我看到他过马路。
I wrote it all down.	我全写下来了。
A lot of soldiers were killed here.	许多士兵在这里阵亡。
They didn't act quickly.	他们没有立刻行动。
Come and see me at eleven o'clock.	十一点钟来看我。
She made him a new coat.	她为他做了件新大衣。
A wounded whale washed up on the beach.	一条受伤的鲸鱼在海滩边搁浅了。
Mary arrived at the hospital.	玛丽到了医院。
Do you know anyone who's not on Facebook?	你有认识没有用Facebook的人吗？
Can I get my money back?	我是不是能收回我的钱？
Mary is sitting at the desk.	玛丽正坐在办公桌旁。
I don't like to go out when it's dark.	我天黑后不喜欢出门。
We are traveling on a tight budget.	我们很节省地旅行。
That was fabulous.	那真是极好的。
Who is this, please?	请问这是谁？
I had a neighbor who was blind.	我有个盲邻居。
The train was delayed because of heavy snowfall.	火车因大雪被耽搁了。
It is no use worrying about it.	担心它是没有用的。
This is a problem you have to solve by yourself.	这是一个你必须自己解决的问题。
This size is too large for me.	这个码对我来说太大了。
Tom found a job in Boston.	汤姆在波士顿找了份工作。
Fluency in English is a very marketable skill today.	流利的英语在今天是一种十分抢手的技能。
It's really awesome.	太棒了。
What to do next is the question.	问题是下一步要做什么。
Tom is hiding a terrible secret.	汤姆隐藏着一个可怕的秘密。
Are you staying at this hotel?	你住在这家旅馆吗？
They give good service at that restaurant.	那家餐馆提供良好的服务。
When will the rainy season be over?	雨季何时会结束？
He took a quick look at the magazine.	他迅速瞥了一眼杂志。
Take the pan off the fire.	把平底锅离火。
I told the policeman what I knew.	我告诉了警察我所知道的。
Somebody is playing the piano.	有人正在弹钢琴。
They didn't come here, did they?	他们没来这里，是吗？
May I run with you?	我可以跟你一起跑吗？
Why don't you grow up?	你为什么长不大呢？
A new team was formed in order to take part in the boat race.	为了参加划船比赛，一支新的队伍组成了。
What do you like to do in your free time?	你空闲时间喜欢做什么？
Are you students at this school?	你是这所学校的学生吗？
Keep it quiet.	保持安静
Father is busy writing letters.	父亲正忙着写信。
Tom went back to his bedroom.	汤姆回到了他的卧室。
Let me check your ticket.	让我看一下你的票。
I listened to some CDs last night.	我昨晚了听一些唱片光盘。
My brother is a first-year student.	我弟弟是个一年级的学生。
Do you think that was fair?	你认为那公平吗？
I think I've found the answer.	我想我找到答案了。
Tom usually doesn't make mistakes.	汤姆通常不犯错。
Please don't look at me like that.	请不要那样看我。
Ogai is his favorite author.	Ogai是他最喜欢的作者。
Let me have a look at it.	让我看看它。
The date of manufacture is shown on the lid.	生产日期在盖子上。
She's a very interesting person.	她是一个非常有趣的人。
He likes music very much.	他非常喜欢音乐。
They are all innocent children.	他们都是无辜的孩子。
What's your name?	叫什么名字?
People of all ages like this song.	这首歌老少皆宜。
I can't figure him out.	我不了解他。
His cottage is on the coast.	他的村屋在海岸上。
He's younger than me.	他比我年轻。
Be careful not to catch a cold.	小心不要感冒了。
I noticed she was wearing a new hat.	我注意到她当时戴了顶新帽子。
I brought you a little something.	我给你带了点东西。
They were afraid.	他们害怕了。
It's my turn to choose where we eat.	轮到我决定我们吃甚么。
Can you tell silver and tin apart?	你能分辨银和锡吗?
Don't throw trash here.	别在这儿扔垃圾。
She gave him a tender kiss.	她给了他一个温柔的吻。
I know your older brother quite well.	我跟你哥哥很熟。
This data isn't accurate at all.	这个数据一点也不准确。
I hear you are good at cooking.	我听说你擅长烹饪。
Can you explain the exact meaning of this word?	你能否说出这个词的精确意思?
He left an hour ago.	他一小时前走了。
I like learning languages.	我喜欢学习外语。
He sometimes watches TV.	他有时看电视。
I was never so humiliated in my life.	我一生中从没那么糗过。
Today is the fifth.	今天是五号。
I stayed home because of the rain.	因为下雨，所以我待在家里。
She read an amusing story to the children.	她给孩子们读了个有趣的故事。
I often play soccer after school.	我常常在放学后踢足球。
You'd better tell us what's going on.	你最好告诉我们发生了什么。
We're going downtown.	我们正在去市里。
She complained about my low salary.	她抱怨我的工资低。
Tom will never see you again.	汤姆以后再也不会见你了。
Compared to yours, my car is small.	和你的车比起来，我的车很小。
You took the wrong key.	你拿错钥匙了。
This place gives me a really bad vibe.	这地方给我一个很差的印象。
Who is this boy?	这个男孩是谁？
Gold is far heavier than water.	金子比水重得多。
The shop is open from Monday to Saturday.	这家店从星期一到星期六都营业。
She was satisfied with the new dress.	那条新裙子让她很满意。
There is nothing worse than doing something in a half-hearted manner.	没有什么比做事缺乏热情更糟。
You should get your hair cut.	你该理发了。
She can speak English very well.	她能说流利的英语。
She poured brandy into the glasses.	她把白兰地倒进玻璃杯里。
I listen to the radio every night.	我每晚都听收音机。
Tom isn't watching TV now.	汤姆现在没在电视。
We have a problem here.	我们现在有了麻烦。
The tsunami alert was cancelled.	海啸的警报解除了。
You must come back before nine o'clock.	你必须在九点之前回来。
No one came except Mary.	除了玛丽没有人来。
I ache all over.	我全身酸痛。
He married a very pretty girl.	他娶了一个很漂亮的女孩。
I'm almost finished reading this book.	我就要读完这本书了。
I went there by bus and train.	我搭公交车和火车去那里。
He prefers French to German.	他喜欢法语胜过德语。
There's nothing to be afraid of.	没什么好怕的。
My grandfather lived to be ninety.	我的祖父活到了九十岁。
He knows a lot of people.	他认识很多人。
Put the book on the bottom shelf.	把这本书放在架子的底部。
Did you watch the soccer game on television?	你在电视上看足球赛了吗？
I am a new student.	我是个新生。
She does not have many friends in Kyoto.	她在京都没有很多朋友。
How many friends do you have?	你有多少朋友？
I don't want to take such a risk.	我不想承担这样一个风险。
It's still too early to get up.	时间还早不必这么早起床。
You have to leave.	你得走了。
You must always keep your hands clean.	您应该一直让手保持干净。
It turned out that I was right.	结果证明我是对的。
Tom was very sick.	汤姆很虚弱。
He likes playing football.	他喜欢踢足球。
She translated it word for word.	她逐字地翻译它。
We consider it a blessing.	我们把它当作恩惠。
The company went bankrupt.	公司破产了。
I will fight to the death.	我会战斗至死。
He looks like a clever boy.	他看起来像是个聪明的男孩。
He made a journey around the world.	他环游世界旅行。
She's sure to succeed.	她理所当然的取得了胜利。
After supper, she cleared the table.	晚饭后她清理了桌子。
Come as soon as possible.	尽早来。
He managed to get home before dark.	他设法在天黑前回家。
She gets up late on Sunday mornings.	她每周日早上很晚起床。
Where is nearest American Express office?	最近的美国运通办公室在哪里？
Why would they need to do that?	为什么他们会需要那么做呢？
I sure hope this is a dream.	我当然希望这是一个梦。
I didn't get your last name.	我没有听清楚你的姓。
The house is burning.	这房子正在燃烧着。
This tunnel is twice as long as that one.	这条隧道是那条的两倍长。
I don't understand.	我不懂。
All the world speaks English.	世界各地都说英语。
Our train leaves at eight-thirty.	我们的火车在八点半出发。
He committed suicide.	他自杀了。
Sorry, that was none of my business.	对不起, 那不关我的事。
She always keeps her promises.	她总是信守承诺。
I spent my vacation at the beach.	我在海边度假。
The address on this parcel is wrong.	这个包裹上的地址是错的。
Are you free tomorrow?	你明天有空吗？
Europe has a smaller population than Asia.	欧洲的人口比亚洲少。
I laughed at his joke.	他的笑话让我大笑了。
This apple is bad.	这个苹果是坏的。
Time is money.	时间就是金钱。
I came to warn you not to do that.	我来警告你别那样做。
She accused me of telling a lie.	她指责我说谎。
We're still doing well.	我们依然做得很好。
There is no cause for complaint.	没有理由抱怨。
This boat sails through the Strait of Gibraltar.	这艘船航行通过了直布罗陀海峡。
I sometimes just don't want to get out of bed in the morning.	我有时早上不想下床。
Tom took Mary to the hospital on the back of his motorcycle.	汤姆把玛丽放到他的摩托车背上送到医院。
Tsunamis swept through rice fields and flooded the towns.	海啸席卷稻田, 淹没了城镇。
I must repay the debt.	我必须偿还债务。
Nothing is missing.	什么也没少。
While I was reading, I fell asleep.	当我读书的时候，我睡着了。
Tom isn't the only one here who's a good singer.	汤姆不是这里唯一的好歌手。
He likes to travel by himself.	他喜欢独自旅行。
Star began to appear in the sky.	星星开始在天空中出现。
She disliked her husband.	她不喜欢她的丈夫。
Yesterday was the last day of school.	昨天是最后一天上学。
Maybe my grandchild will be the first person to set foot on Mars.	可能我的孙子会是登陆火星的第一人。
Tom couldn't go to college because his family didn't have enough money.	因为家里钱不够所以汤姆没能念大学。
What he says is very important.	他说的话非常重要。
We go to school by bus.	我们乘公共汽车去上学。
It hasn't been easy for Tom to deal with Mary's health problems.	处理玛丽的健康问题对汤姆来说不容易。
She is gracious to everyone.	她对谁都很和蔼可亲。
Who is the woman standing there?	站在那儿的女人是谁？
Were you able to do everything you wanted to get done?	你是不是有能力做到你想要完成的所有事情呢？
I can understand what she is saying.	我能了解她在说什么。
I have a pair of red shoes.	我有一双红鞋子。
Did you meet Tom?	你见过汤姆了吗？
Apparently, there is nothing that cannot happen today.	显然，今天什么事都有可能发生。
Did they buy the juice?	他们有买果汁吗？
That's Tom's mother.	那是汤姆的妈妈。
They kept on walking.	他们继续走。
He made a few grammatical mistakes.	他犯了一些文法错误。
Let's take turns rowing the boat.	让我们轮流划船。
She spent the weekend by herself.	她独自度过了周末。
I've scolded him many times.	我责备过他很多次了。
In the United States, school buses are yellow.	在美国，校车是黄色的。
May I go to the restroom?	我可以去洗手间吗？
Basho was the greatest poet.	Basho是最伟大的诗人。
He got injured in the traffic accident.	他在这场交通意外中受了伤。
Luckily he had enough money to pay the bill.	幸运的是他有足够的钱来付账。
They make good use of their rooms.	他们好好地利用他们的房间。
Tom hasn't missed any of Mary's concerts.	汤姆没有错过一场玛丽的音乐会。
I don't like her.	我不喜欢她。
It may snow in the afternoon.	下午可能会下雪。
He was named after his grandfather.	他以他祖父的名字被命名。
That was an excellent meeting.	那是场精彩的会议。
Mary came home from school in tears because her friends had teased her.	玛丽哭着从学校跑回了家里，因为她的朋友捉弄了她。
I need you.	我需要你。
Did he go to see Mary?	他去看玛丽了吗？
I'd like to introduce you to my parents.	我想介绍你给我父母认识。
He is always asking for money.	他总是要钱。
He thought that it was like a bird cage.	他认为这像个鸟笼。
It's already past ten o'clock.	已经过了十点钟了。
His uncle died five years ago.	他的叔叔五年前去世了。
Go at once, otherwise you will be late.	立刻走，否则你会迟到。
The bridge is being repainted.	这座桥正被重新油漆。
Are you a Japanese student?	你是日本学生吗？
I didn't recognize him at first.	起初我没认出他来。
What did she whisper to you?	她跟你说了什么悄悄话？
Which is better, red thread or white thread?	哪个更好，红线呢还是白线？
He took a photograph of the family.	他拍了张全家福的照片。
Drive slowly.	开车慢点。
She rushed home with the good news.	她急忙带着好消息跑回家。
Stop talking loudly.	停止大声说话。
Do you have a driver's license?	你有驾驶执照吗？
Tom is a very talented writer.	汤姆是个很有才华的作家。
I got a letter from her.	我收到她的来信。
They decided to build a bridge.	他们决定建一座桥。
They went to Tottori.	他们去了鸟取。
He can read well.	他能读得很好。
How about eating out this evening for a change?	你说今晚改变一下，去外面吃晚饭怎么样？
You can use this car.	你可以使用这辆车。
She's a complete stranger to me.	她对我来说是一个完全陌生的人。
Hey, what are you guys looking at?	嘿，你们这些家伙看什么呢？
It is too dark for me to read.	太暗了我无法读。
Tom probably knows where we can get something to eat around here.	汤姆应该知道这附近哪里有东西吃。
Thank you in advance for your help.	我先谢谢你的帮忙。
In Japan, the new school year begins in April.	日本的新学年在四月开始。
I don't know when he's coming.	不知道他什么时候来。
What you see is what you get.	你看到什么拿什么。
He grew up in Australia.	他在澳大利亚长大。
He gave me his stamp of approval.	他给了我正式批准。
Tom is waiting for Mary to return.	汤姆正在等着玛丽回来。
Where is the mailbox?	邮箱在哪里？
He is still here.	他还在这儿。
Get off the lawn!	离开草坪!
I am ashamed of myself.	我对我自己感到惭愧。
Everybody had a hard time.	每个人都遇到过困难。
Tom kept talking all night.	汤姆整夜一直在说话。
The children haven't studied division yet.	孩子们还没上过除法。
I have not been to New Zealand.	我没去过新西兰。
He is acquainted with the mayor.	他认识市长。
I think it will be hot today.	我觉得今天会很热。
Everyone, please be quiet.	各位，请安静。
Do Japanese eat a lot of fish?	日本人吃很多鱼吗 ?
Tom is in the house.	汤姆在这栋房子里。
We'd like another bottle of wine.	我们想再来一瓶葡萄酒。
Do you have a map?	你有地图吗？
He has a strong sense of responsibility.	他有强烈的责任感。
Where is the city hall?	市政府在哪里?
I just had dinner with some of Tom's friends.	我刚跟汤姆的一些朋友吃了晚饭。
Is your family doing well?	你的家人好么？
A boat suddenly appeared out of the mist.	一艘船突然从雾中出现。
The road was wet from the rain.	这条路因为下雨所以是湿的。
Drink this juice.	喝这果汁。
You don't have to stay in the hospital.	你不必要呆在医院。
Are you brushing your teeth properly?	你正确地刷牙吗？
Take this medicine every six hours.	每六个小时吃一次这个药。
He is very kind.	他非常亲切。
He arrived in time.	他及时赶到。
I hope that Mary passes the examination.	我希望玛丽通过考试。
Somehow I thought you'd say that.	我就知道你会这么说。
Why did her father go to Japan?	为什么她的父亲去了日本？
Clean the room.	打扫房间。
This theory is very controversial.	z这个理论很有争议。
Is there anyone in the room?	房间里有人吗？
It's my brother's.	它是我兄弟的。
Mary is not poor. On the contrary, she is quite rich.	玛丽不穷，相反，她相当富裕。
How soon can they be delivered?	它们什么时候能被送到？
I'd rather be with you.	我更愿意跟着你。
What you said is not true.	你说的不是真的。
The town was full of activity.	小镇充满了活力。
Tom was popular.	汤姆挺受欢迎。
A lot of houses were washed away by the flood.	许多房屋被洪水冲走了。
Something is wrong with the brakes.	剎车出了问题。
May I play the piano?	我可以弹钢琴吗？
I've done enough already.	我已经做够了。
Some people clung to tree branches for several hours to avoid being washed away by the floodwaters.	为了不被洪水冲走，有的人紧紧地抱着树干长达数个钟头。
He loves traveling.	他爱旅行。
I heard her singing in her room.	我听到她在她的房间里唱歌。
I work here.	我在这里工作。
I don't like to mix business with pleasure.	我不喜欢把生意和快乐混在一起。
I was ill yesterday.	我昨天生病了。
His house is across from mine.	他的房子在我的对面。
I got arrested.	我被逮捕了。
Lake Baikal in Russia is the deepest lake in the world.	俄罗斯的贝加尔湖是世界上最深的湖泊。
He works in a big city hospital.	他在一间很大的市立医院工作。
If I knew the truth, I would tell you.	我要是知道就告诉你了。
I'll try to meet your wishes.	我会尽力满足你的愿望。
Life would be so much better if you didn't care so much.	如果你不计较太多，生活会更容易些。
Is this the train for New York?	这班是去纽约的火车吗?
I wasn't yelling.	我没有在吼。
He should have been a lawyer.	他本应该成为一个律师。
I'm sorry I don't agree with you on that matter.	很抱歉那个问题我不赞成你。
I was born on October 10th, 1972.	我在一九七二年十月十日出生。
The mother missed her daughter who was away at college.	妈妈想念她在读大学的女儿。
Do you have a coat and a hat?	你有外套和帽子吗？
You should have started by now.	你早就该开始了。
It's cold there even in the summer.	那里连夏天都很冷。
Do you have any other questions?	你有任何其他的问题吗？
The manager approved our plan.	经理批准了我们的计划。
My neighbor's dog is dead.	我邻居的狗死了。
She is making progress with her English.	她的英语正在进步中。
I hope Tom appreciates it.	我希望汤姆欣赏它。
I ate lunch in a hurry.	我匆忙地吃了午饭。
He is getting along with his neighborhood.	他与他的邻居相处。
My train left at 7 and arrived in New York at 10.	我乘的火车7点出发，10点到了纽约。
She laughed at the sight of his hat.	看到他的帽子，她笑了。
If you can sing, that's good enough.	如果你会唱歌就好了。
There were only six people at the party.	只有六个人参加了派对。
Would you like some more cake?	你想再来些蛋糕吗？
I am leaving for Tokyo tomorrow.	我明天要离开去东京。
It is still fresh in my memory.	我仍然记忆犹新。
He's writing a long letter.	他写长信。
Where's the nearest telephone booth?	最近的电话亭在哪里？
I hugged him tightly and cried.	我紧紧地抱着他哭。
I’m learning Chinese in Beijing.	我是在北京学的中文。
I solved the problem easily.	我很容易地解决了这个问题。
Here is the book you are looking for.	你正在找的书在这里。
Work harder if you plan to succeed.	如果你计划要成功，就要更加努力地工作。
His name was on the tip of my tongue, but I couldn't remember it.	我都快要说出他的名字了，可就是记不起来。
There are some songs from Scotland.	有一些来自苏格兰的歌。
What time did your friend go home?	你朋友几点钟回家?
You're a better skier than me.	你滑雪比我好。
I will follow you wherever you go.	无论你去哪里我都会跟着你。
The rope broke under the strain.	绳子被拉断了。
Can you move this desk by yourself?	你能自己搬这张桌子吗?
I don't have any sisters.	我没有姐妹。
He finally became the president of IBM.	他最终成了IBM的总裁。
He's not always at home on Sundays.	他星期日并不总是在家。
Tom complained that Mary never helped him.	汤姆埋怨玛丽从来不帮他。
He has two daughters.	他有两个女儿。
Physics is my favorite subject.	物理是我最喜欢的科目。
What color do you think she likes?	你认为她喜欢什么颜色？
Why are your ears so big?	为什么你的耳朵这么大？
Get off your high horse, Tom.	别那么趾高气扬，汤姆。
Can you read?	你能阅读吗？
I think she will divorce him.	我想她会和他离婚。
A friend of mine asked me to send her a postcard.	我的一位朋友要求我寄给她一张明信片。
You should keep your valuables in a safe place.	你该把你的值钱物品保存在一个安全的地方。
I see a book.	我看到一本书。
This is my mother.	这是我母亲。
Aren't you supposed to be at school today?	你今天不是应该在学校的吗？
People who break the law are punished.	触犯法律的人受到惩罚。
What do you do on Sundays?	你星期天都做什么？
We've got a situation.	我们有情况了。
Take a book and read it.	拿本书读！
Listen to this.	听听这个。
I have to ask you something.	我得问你点事。
Do you feel any better today?	你今天感觉好多了吗？
We have plenty of time to spare.	我们还剩下很多时间。
They come from the south of France.	他们是从法国南部来的。
Some people pursue only pleasure.	有些人只追求快乐。
We will play soccer after school.	我们放学后会去踢足球。
Please take me to the hospital.	请带我去医院。
She has a good command of English though she was brought up in Japan.	虽然她在日本被抚养长大，但是她精通英语。
Tom helped Mary move the furniture.	汤姆帮玛丽移动家具。
After climbing Mt. Fuji, I got the inspiration for a poem.	攀登富士山后，我得到了一首诗的灵感。
My first day in the university was rather boring.	我大学里的第一天相当没意思。
Try to have a positive attitude about everything.	试着用积极的态度去面对任何事情。
We are here in the name of Jesus Christ and King Charles.	我们这里以耶稣基督和查尔斯国王之名。
There's no need to hail a taxi.	没必要叫出租车。
The armed forces occupied the entire territory.	军队占领了整片领土。
Many English words are derived from Latin.	许多英文单字源自于拉丁文。
My father takes a walk every day.	我父亲每天散步。
He came all the way from Chicago.	他从芝加哥远道而来了。
Will you go to the party tonight?	你今晚会去派对吗?
Don't try my patience.	别挑战我的耐心。
Do you know how to cook meat?	你知道怎么煮肉吗?
I'm going to Paris next month.	我下个月要去巴黎。
Fish is cheap today.	今天鱼很便宜。
